path,model,task_order,experiment,noise_condition,game_params,myth_topic,agent,role,metric,split_round,z,mean_left,mean_right,n_left,n_right
data/json/baseline/claude-sonnet-4.5/game_myth/trickster_myth_topic/10runs_model_comparison_004_neutral_trickster_betrayal_and_price_10.json,anthropic/claude-sonnet-4.5,game_myth,,no_noise,,"a trickster who exploits others and the price that follows.  Include: a clever betrayal that works once, detection (human or supernatural), a punishment that is costly to carry out, and a reason the cycle ends rather than escalating forever.",Agent_1,trustee,return_rate,8,3.055555555555556,0.6666666666666666,0.9722222222222222,3,4
data/json/baseline/claude-sonnet-4.5/game_myth/trickster_myth_topic/10runs_model_comparison_004_neutral_trickster_betrayal_and_price_10.json,anthropic/claude-sonnet-4.5,game_myth,,no_noise,,"a trickster who exploits others and the price that follows.  Include: a clever betrayal that works once, detection (human or supernatural), a punishment that is costly to carry out, and a reason the cycle ends rather than escalating forever.",Agent_2,trustee,return_rate,7,3.4444444444444433,0.6111111111111112,0.9555555555555555,3,5
data/json/baseline/gpt-5-nano/game/myth_topics_gpt5_stable_000_gpt-5-nano_neutral_game_9.json,openai/gpt-5-nano,game,,no_noise,,anything,Agent_1,investor,send,9,2.1783245945486835,2.75,0.0,4,4
data/json/baseline/gpt-5-nano/game/myth_topics_gpt5_stable_000_gpt-5-nano_neutral_game_9.json,openai/gpt-5-nano,game,,no_noise,,anything,Agent_2,investor,send,8,2.160246899469287,2.0,0.0,3,4
data/json/baseline/gpt-5-nano/game_myth/anything/myth_topics_gpt5_stable_007_gpt-5-nano_neutral_game_myth_anything_2.json,openai/gpt-5-nano,game_myth,,no_noise,,anything,Agent_1,investor,send,7,2.3094010767585034,3.6666666666666665,5.0,3,5
data/json/baseline/gpt-5-nano/game_myth/anything/myth_topics_gpt5_stable_007_gpt-5-nano_neutral_game_myth_anything_2.json,openai/gpt-5-nano,game_myth,,no_noise,,anything,Agent_2,investor,send,8,20.0,3.0,5.0,3,4
data/json/baseline/gpt-5-nano/game_myth/anything/myth_topics_gpt5_stable_007_gpt-5-nano_neutral_game_myth_anything_2.json,openai/gpt-5-nano,game_myth,,no_noise,,anything,Agent_2,trustee,return_rate,9,2.805555555555556,0.3444444444444444,0.625,4,4
data/json/baseline/gpt-5-nano/game_myth/anything/myth_topics_gpt5_stable_007_gpt-5-nano_neutral_game_myth_anything_7.json,openai/gpt-5-nano,game_myth,,no_noise,,anything,Agent_1,investor,send,9,2.803652103289399,4.0,0.75,4,4
data/json/baseline/gpt-5-nano/game_myth/anything/myth_topics_gpt5_stable_007_gpt-5-nano_neutral_game_myth_anything_7.json,openai/gpt-5-nano,game_myth,,no_noise,,anything,Agent_1,trustee,return_rate,8,4.814814814814814,0.48148148148148145,0.0,3,4
data/json/baseline/gpt-5-nano/game_myth/anything/myth_topics_gpt5_stable_007_gpt-5-nano_neutral_game_myth_anything_7.json,openai/gpt-5-nano,game_myth,,no_noise,,anything,Agent_2,investor,send,8,2.514706009195581,3.6666666666666665,0.75,3,4
data/json/baseline/gpt-5-nano/game_myth/anything/myth_topics_gpt5_stable_007_gpt-5-nano_neutral_game_myth_anything_7.json,openai/gpt-5-nano,game_myth,,no_noise,,anything,Agent_2,trustee,return_rate,7,4.814814814814814,0.48148148148148145,0.0,3,5
data/json/baseline/gpt-5-nano/game_myth/hospitality_and_guest_right/myth_topics_gpt5_stable_011_gpt-5-nano_neutral_game_myth_hospitality_and_guest_right.json,openai/gpt-5-nano,game_myth,,no_noise,,"hospitality and guest-right. Include: a traveler of uncertain identity, a host facing real cost and risk, a violation of guest-right by someone else, and a resolution that frames hospitality as sacred law (ritual, taboo, or custom), not mere kindness.",Agent_1,investor,send,7,2.3094010767585034,2.0,0.0,3,5
