model_id,model_label,metric,contrast,primary,n_pairs,estimate,ci_low,ci_high,p_value,cohens_dz
gpt,GPT-5 Nano,standard_send_ratio,2 of 8 defectors − no defectors,True,10,-0.017243333333333298,-0.05140292565938989,0.016916258992723296,0.28296175065652973,-0.36110318485416454
gpt,GPT-5 Nano,round1_standard_send,2 of 8 defectors − no defectors,False,10,0.001666666666666694,-0.04380282430388673,0.047136157637220115,0.9357312765960838,0.02622113167602225
gpt,GPT-5 Nano,standard_return_ratio,2 of 8 defectors − no defectors,False,10,-0.0056064912312119184,-0.03074240195272647,0.01952941949030263,0.6259842176440832,-0.1595582616856485
gpt,GPT-5 Nano,standard_final_balance,2 of 8 defectors − no defectors,False,10,-18.797166666666666,-20.336693682054023,-17.25763965127931,5.1877750990898e-10,-8.734294918904384
gpt,GPT-5 Nano,population_final_balance,2 of 8 defectors − no defectors,False,10,-11.024750000000001,-12.508069576485559,-9.541430423514443,4.171248503501417e-08,-5.31687923109652
gpt,GPT-5 Nano,standard_send_partner_contrast,Send to defector − send to standard (treatment),False,10,0.02941316738816734,-0.011273648158325104,0.07009998293465979,0.13640512736385094,0.5171432596899423
gpt,GPT-5 Nano,standard_myth_coop_density,Treatment-standard − control-standard,True,10,-0.10804346117476507,-0.3336964018185484,0.11760947946901829,0.30691441794318736,-0.34251552795077905
gpt,GPT-5 Nano,standard_myth_coop_present,Treatment-standard − control-standard,False,10,0.002499999999999991,-0.0012702619380901593,0.006270261938090141,0.1678506560570748,0.47434164902525694
gpt,GPT-5 Nano,standard_myth_threat_density,Treatment-standard − control-standard,False,10,-0.014258911092846938,-0.024352894006753244,-0.004164928178940633,0.010908814593905374,-1.010523854571732
gpt,GPT-5 Nano,standard_myth_threat_present,Treatment-standard − control-standard,False,10,-0.026666666666666665,-0.04537078038715674,-0.00796255294617659,0.010402620869966673,-1.0198924388912043
gpt,GPT-5 Nano,standard_myth_half_rule,Treatment-standard − control-standard,False,10,0.01625,-0.009713834614186859,0.04221383461418686,0.1904911690361484,0.4477208353483646
gpt,GPT-5 Nano,standard_myth_word_count,Treatment-standard − control-standard,False,10,1.255000000000004,-0.6898972331023792,3.199897233102387,0.17837221289613195,0.4616042954533366
gpt,GPT-5 Nano,defector_myth_coop_density,Defector-authored − standard-authored (treatment),False,10,-0.04538606363923239,-0.2689915995226933,0.17821947224422854,0.6570085208318182,-0.1451987041898305
gpt,GPT-5 Nano,defector_myth_threat_density,Defector-authored − standard-authored (treatment),False,10,0.035025048746268383,-0.017877852893179016,0.08792795038571578,0.16843891278377277,0.47361127134354764
gpt,GPT-5 Nano,defector_myth_half_rule,Defector-authored − standard-authored (treatment),False,10,-0.025,-0.05324203312699149,0.003242033126991485,0.07624809009763266,-0.6332377902572626
gpt,GPT-5 Nano,defector_myth_word_count,Defector-authored − standard-authored (treatment),False,10,-0.1150000000000034,-2.4562179811014757,2.226217981101469,0.9139624817033428,-0.035138139572103336
gpt,GPT-5 Nano,defector_myth_coop_density_round1,Defector-authored − standard-authored (round1),False,10,0.3893953613325458,-0.2752736824790215,1.0540644051441133,0.21773420305393684,0.4190907692822114
gpt,GPT-5 Nano,defector_myth_threat_density_round1,Defector-authored − standard-authored (round1),False,10,0.030574683223300224,-0.04535782372516425,0.10650719017176469,0.3861092814470056,0.288042785246615
gpt,GPT-5 Nano,defector_myth_coop_density_rounds2_10,Defector-authored − standard-authored (rounds2_10),False,10,-0.09369511085831883,-0.30548071003919186,0.1180904883225542,0.3430741745331907,-0.3164778194035713
gpt,GPT-5 Nano,defector_myth_threat_density_rounds2_10,Defector-authored − standard-authored (rounds2_10),False,10,0.03551953380437597,-0.0181722178780478,0.08921128548679974,0.16873774337386988,0.4732411033027338
gemini,Gemini 3.1 Flash-Lite,standard_send_ratio,2 of 8 defectors − no defectors,True,10,-0.009666666666666657,-0.025097640450779793,0.005764307117446479,0.1901220609266974,-0.44813223420849135
gemini,Gemini 3.1 Flash-Lite,round1_standard_send,2 of 8 defectors − no defectors,False,10,0.0,0.0,0.0,1.0,0.0
gemini,Gemini 3.1 Flash-Lite,standard_return_ratio,2 of 8 defectors − no defectors,False,10,-0.01265318542568547,-0.04070219684687214,0.0153958259955012,0.33414654603156313,-0.3227045488732654
gemini,Gemini 3.1 Flash-Lite,standard_final_balance,2 of 8 defectors − no defectors,False,10,-21.73333333333333,-23.05406158531961,-20.412605081347053,3.612830665511927e-11,-11.771604087945356
gemini,Gemini 3.1 Flash-Lite,population_final_balance,2 of 8 defectors − no defectors,False,10,-12.8625,-13.441161516904245,-12.283838483095757,2.442000478931492e-12,-15.900967896570252
gemini,Gemini 3.1 Flash-Lite,standard_send_partner_contrast,Send to defector − send to standard (treatment),False,10,-0.003863636363636369,-0.03997511059685625,0.03224783786958352,0.8141798606985926,-0.0765374168084334
gemini,Gemini 3.1 Flash-Lite,standard_myth_coop_density,Treatment-standard − control-standard,True,10,-0.022332179093126615,-0.17988581681337865,0.1352214586271254,0.755798809248744,-0.1013970782978821
gemini,Gemini 3.1 Flash-Lite,standard_myth_coop_present,Treatment-standard − control-standard,False,10,0.002499999999999991,-0.0012702619380901593,0.006270261938090141,0.1678506560570748,0.47434164902525694
gemini,Gemini 3.1 Flash-Lite,standard_myth_threat_density,Treatment-standard − control-standard,False,10,0.023873225028435092,-0.004178668729285035,0.05192511878615522,0.08633675656711287,0.6087958460061094
gemini,Gemini 3.1 Flash-Lite,standard_myth_threat_present,Treatment-standard − control-standard,False,10,0.04333333333333333,-0.011828002607613235,0.09849466927427988,0.10927664574743522,0.5619660715375123
gemini,Gemini 3.1 Flash-Lite,standard_myth_half_rule,Treatment-standard − control-standard,False,10,0.007083333333333329,-0.050303175897465836,0.06446984256413249,0.7863843020440615,0.08829795513503548
gemini,Gemini 3.1 Flash-Lite,standard_myth_word_count,Treatment-standard − control-standard,False,10,0.2191666666666663,-0.36379177661024986,0.8021251099435824,0.41711440288483803,0.268942649978859
gemini,Gemini 3.1 Flash-Lite,defector_myth_coop_density,Defector-authored − standard-authored (treatment),False,10,-0.5041814787289851,-0.7079735687744476,-0.3003893886835226,0.0003357417525977183,-1.7697924517076866
gemini,Gemini 3.1 Flash-Lite,defector_myth_threat_density,Defector-authored − standard-authored (treatment),False,10,0.05111562035373698,0.025035225028573825,0.07719601567890014,0.0016384570575559655,1.4020459263761236
gemini,Gemini 3.1 Flash-Lite,defector_myth_half_rule,Defector-authored − standard-authored (treatment),False,10,-0.07333333333333333,-0.11694106659056004,-0.029725600076106626,0.004190406778475533,-1.2029863173512072
gemini,Gemini 3.1 Flash-Lite,defector_myth_word_count,Defector-authored − standard-authored (treatment),False,10,0.20333333333333883,-0.48556504693946057,0.8922317136061382,0.5210818251168696,0.21114275832675558
gemini,Gemini 3.1 Flash-Lite,defector_myth_coop_density_round1,Defector-authored − standard-authored (round1),False,10,0.09582660607893971,-0.24791847281964458,0.439571684977524,0.543963577915427,0.19942168963011758
gemini,Gemini 3.1 Flash-Lite,defector_myth_threat_density_round1,Defector-authored − standard-authored (round1),False,10,-0.0078119658585091315,-0.08319220596795193,0.06756827425093367,0.8198923619006404,-0.07413539301700355
gemini,Gemini 3.1 Flash-Lite,defector_myth_coop_density_rounds2_10,Defector-authored − standard-authored (rounds2_10),False,10,-0.5708490437076434,-0.777597466187592,-0.36410062122769493,0.00015035129709539002,-1.9751580243989877
gemini,Gemini 3.1 Flash-Lite,defector_myth_threat_density_rounds2_10,Defector-authored − standard-authored (rounds2_10),False,10,0.05766312993287544,0.02933903974660111,0.08598722011914976,0.0012806937653527485,1.4563475100914187
