between_agent_jaccard_slope,condition,condition_label,early_between_agent_jaccard,final_between_agent_jaccard,mean_between_agent_jaccard,mean_coop_per_100,mean_we_i_ratio,mean_within_agent_prev_jaccard,model,n_round_observations,task_order,task_order_label
0.011970212950843367,default,No noise,0.09683062015283087,0.20629982147476755,0.14039174008193056,2.2719974089128185,0.31333333333333335,0.1718887482905529,Claude Sonnet 4.5,150,game_myth,Game -> myth
0.010813226233313992,default,No noise,0.09477377388045129,0.18665476982160847,0.1341095038515447,2.1133416606622277,0.16,0.13336455290111185,Claude Sonnet 4.5,150,myth_game,Myth -> game
0.015164147335881728,neutral_framing_default,Neutral framing,0.10623964658277078,0.22189420836865126,0.15235790574950747,1.7498023899909048,0.06944444444444445,0.16591599368472823,Claude Sonnet 4.5,180,game_myth,Game -> myth
0.011142617371599866,neutral_framing_default,Neutral framing,0.0975775925452482,0.19511715148976758,0.13651642540476508,2.1133953140336286,0.12794117647058822,0.15278467354970723,Claude Sonnet 4.5,170,myth_game,Myth -> game
0.011953423492343053,noisy_positive_5,Positive k=5,0.09661652962417243,0.19179523568831566,0.13518086825282055,1.7320660561612533,0.1,0.1481953272068017,Claude Sonnet 4.5,150,game_myth,Game -> myth
0.011560805598813215,noisy_positive_5,Positive k=5,0.1111230412329207,0.19665385256491955,0.15327088788805684,1.8516139145299788,0.195,0.15137158235223097,Claude Sonnet 4.5,150,myth_game,Myth -> game
0.011017607817400134,noisy_positive_5_informed,Positive k=5 informed,0.12026047056159529,0.2100833473826628,0.14562270592721,2.3362589458723204,0.29,0.15856663683761305,Claude Sonnet 4.5,150,game_myth,Game -> myth
0.013025225412767634,noisy_positive_5_informed,Positive k=5 informed,0.09792474559426088,0.2059450866339847,0.1487001222522808,2.26783279195801,0.16666666666666666,0.148948295474537,Claude Sonnet 4.5,150,myth_game,Myth -> game
0.006039040245436032,noisy_negative_5,Negative k=5,0.12081895769601907,0.1702548001112304,0.14193591916298504,2.1229380865651337,0.16,0.19050260904974906,Claude Sonnet 4.5,150,game_myth,Game -> myth
0.007716297931170479,noisy_negative_5,Negative k=5,0.11001104930869848,0.17038001076227327,0.13257640761996956,1.8070881935421663,0.27,0.14083632307075766,Claude Sonnet 4.5,150,myth_game,Myth -> game
0.008498614043286716,noisy_negative_5_informed,Negative k=5 informed,0.09597293676175873,0.15742979385805267,0.13381643182430053,1.6747336571636295,0.21166666666666667,0.15023655093430757,Claude Sonnet 4.5,150,game_myth,Game -> myth
0.006468234239589004,noisy_negative_5_informed,Negative k=5 informed,0.10358389917104742,0.14238136807478394,0.13117862067583902,1.7751308518040994,0.11333333333333333,0.15070397811111563,Claude Sonnet 4.5,150,myth_game,Myth -> game
0.004128898227034659,default,No noise,0.11220090958107028,0.14553412321867193,0.13244853446199228,3.7223875998937745,0.006666666666666667,0.15859132975443743,GPT-5-Nano,150,game_myth,Game -> myth
0.005005885587976883,default,No noise,0.09511377400872009,0.1577419244415685,0.12674371806773038,4.659085422202042,0.02,0.15527432985754244,GPT-5-Nano,150,myth_game,Myth -> game
0.0035143012422961437,neutral_framing_default,Neutral framing,0.12009020651472752,0.14996408567701902,0.1251623156438496,5.2035420377788615,0.016666666666666666,0.1610775225858051,GPT-5-Nano,180,game_myth,Game -> myth
0.004494172199315356,neutral_framing_default,Neutral framing,0.10511478997161425,0.14374702711877163,0.12006420408914256,5.0878192685241235,0.008333333333333333,0.19768280448144443,GPT-5-Nano,180,myth_game,Myth -> game
0.004725374403141159,noisy_positive_5,Positive k=5,0.11614461043268413,0.14449236775088722,0.12665386164064182,3.8062749056934404,0.0033333333333333335,0.14918914130276847,GPT-5-Nano,150,game_myth,Game -> myth
0.004899325433637743,noisy_positive_5,Positive k=5,0.08747395539543584,0.14010940123560292,0.1255628718136925,4.063846789063332,0.023333333333333334,0.15988230551057583,GPT-5-Nano,150,myth_game,Myth -> game
0.008429631328501198,noisy_positive_5_informed,Positive k=5 informed,0.10540607813072629,0.1846226744672131,0.14115678832307446,3.860856917572939,0.016666666666666666,0.19475138309896742,GPT-5-Nano,150,game_myth,Game -> myth
0.005935109203000793,noisy_positive_5_informed,Positive k=5 informed,0.1050186657408629,0.15512931892889958,0.13204374392966603,3.800805384795728,0.013333333333333334,0.1790639089243607,GPT-5-Nano,150,myth_game,Myth -> game
0.004645594116453888,noisy_negative_5,Negative k=5,0.11129469783238437,0.15068251586153586,0.12599278580173348,3.8436949485861454,0.006666666666666667,0.14738586804608314,GPT-5-Nano,150,game_myth,Game -> myth
0.006444664222157202,noisy_negative_5,Negative k=5,0.06759275726758099,0.14720895331325337,0.11833210899992697,5.443436591968054,0.013333333333333334,0.14137170196979065,GPT-5-Nano,150,myth_game,Myth -> game
0.003437541350534613,noisy_negative_5_informed,Negative k=5 informed,0.11330191119612769,0.14333129774171346,0.128539992864646,3.649727197281457,0.023333333333333334,0.16080723924448823,GPT-5-Nano,150,game_myth,Game -> myth
0.004710524316586252,noisy_negative_5_informed,Negative k=5 informed,0.11328476856694043,0.15245574303861345,0.12869830141213093,4.195333718741304,0.006666666666666667,0.17292266547312507,GPT-5-Nano,150,myth_game,Myth -> game
0.004724952851580183,noisy_bootstrap_cooperation,Bootstrap,0.11629241856566949,0.16860803953184997,0.13685807160917485,3.9956796605466005,0.006666666666666667,0.16398172417512025,GPT-5-Nano,150,game_myth,Game -> myth
0.006850505039540551,noisy_bootstrap_cooperation,Bootstrap,0.08835595895562703,0.15539803610701455,0.13183935885656095,4.813230620437215,0.013333333333333334,0.1603714141061366,GPT-5-Nano,150,myth_game,Myth -> game
0.0048120110159103405,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.11754662157652457,0.16130278266499296,0.13458898203513198,3.877543737350049,0.02,0.15870418930171173,GPT-5-Nano,150,game_myth,Game -> myth
0.0062223090844806565,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.10025935993905745,0.1635042845404158,0.1320511029141651,3.4022731920996137,0.013333333333333334,0.17254988929719073,GPT-5-Nano,150,myth_game,Myth -> game
