between_agent_jaccard,condition,condition_label,mean_coop_per_100,mean_we_i_ratio,model,path,round,task_order,within_agent_prev_jaccard
0.13537117903930132,noisy_bootstrap_cooperation,Bootstrap,2.224834013773764,0.0,GPT-5-Nano,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_030_neutral_anything.json,1,game_myth,nan
0.109375,noisy_bootstrap_cooperation,Bootstrap,3.5371555118110236,0.0,GPT-5-Nano,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_030_neutral_anything.json,2,game_myth,0.096426410854723
0.12299465240641712,noisy_bootstrap_cooperation,Bootstrap,5.046432062561095,0.0,GPT-5-Nano,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_030_neutral_anything.json,3,game_myth,0.12532899391538135
0.22404371584699453,noisy_bootstrap_cooperation,Bootstrap,2.2922134733158357,0.0,GPT-5-Nano,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_030_neutral_anything.json,4,game_myth,0.20619539805586318
0.1477832512315271,noisy_bootstrap_cooperation,Bootstrap,3.3370226895406754,0.0,GPT-5-Nano,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_030_neutral_anything.json,5,game_myth,0.23476906051604637
0.1724137931034483,noisy_bootstrap_cooperation,Bootstrap,5.057381324986959,0.0,GPT-5-Nano,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_030_neutral_anything.json,6,game_myth,0.3905574912891986
0.165,noisy_bootstrap_cooperation,Bootstrap,5.0310559006211175,0.0,GPT-5-Nano,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_030_neutral_anything.json,7,game_myth,0.39005940867642996
0.21164021164021163,noisy_bootstrap_cooperation,Bootstrap,3.708660978194189,0.0,GPT-5-Nano,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_030_neutral_anything.json,8,game_myth,0.3425480769230769
0.2346368715083799,noisy_bootstrap_cooperation,Bootstrap,5.846358899794014,0.0,GPT-5-Nano,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_030_neutral_anything.json,9,game_myth,0.3524539877300613
0.23626373626373626,noisy_bootstrap_cooperation,Bootstrap,4.0550108932461875,0.0,GPT-5-Nano,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game_myth/noisy_bootstrap_cooperation/noise_bootstrap_mem3_030_neutral_anything.json,10,game_myth,0.2785489785227868
