path,version,experiment,model,task_order,noise_condition,noise_label,informed,n_rounds,lag1_AB,lag1_BA,same_round_AB
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_023_neutral_trickster_exploitation.json,v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,10,0.07216491453583988,-0.23446777372757832,0.0389736829725025
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_017_neutral_reciprocity_oath.json,v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,10,0.23406513052649405,-0.14820425533395112,0.2591982386719647
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_018_neutral_reciprocity_oath.json,v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,10,0.11312608889293316,0.2561736006659373,0.7913986327537096
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_020_neutral_trickster_exploitation.json,v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,10,-0.1430823169919642,0.8024397457554155,0.4207618646277989
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_019_neutral_reciprocity_oath.json,v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,10,-0.4754563685239809,-0.3831794998422604,0.07783381558220445
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_016_neutral_reciprocity_oath.json,v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,10,0.698329822081062,0.08080115177597276,0.5098658314316712
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_022_neutral_trickster_exploitation.json,v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,10,0.46710382093609665,0.40641922981312145,0.1660567882101389
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_021_neutral_trickster_exploitation.json,v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,10,-0.6911623760337148,0.3869614928911595,0.1975966390738552
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_015_neutral_reciprocity_oath.json,v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,10,-0.3166629316037107,-0.016635627078846422,0.35594961343746767
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_024_neutral_trickster_exploitation.json,v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,10,-0.1225662059711721,0.41796875575987213,0.32260162050667784
