path,model,task_order,noise_label,informed,experiment,agent,n_rounds_with_myth,total_tokens,n_distinct_coinages,max_persistence,n_rounds_with_coinage,rare_share_pct,n_coinages_in_reasons,any_coinage_in_reasons
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_023_neutral_trickster_exploitation.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_1,10,2139,6,1,5,0.3740065451145395,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_023_neutral_trickster_exploitation.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_2,10,2203,5,1,5,0.3631411711302769,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_017_neutral_reciprocity_oath.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_1,10,2154,11,2,8,0.8356545961002786,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_017_neutral_reciprocity_oath.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_2,10,2182,16,2,10,1.0540788267644363,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_018_neutral_reciprocity_oath.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_1,10,2201,6,1,5,0.408905043162199,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_018_neutral_reciprocity_oath.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_2,10,2177,9,4,8,0.8268259072117593,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_020_neutral_trickster_exploitation.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_1,10,2222,9,2,8,0.54005400540054,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_020_neutral_trickster_exploitation.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_2,10,2126,13,2,8,0.9877704609595485,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_019_neutral_reciprocity_oath.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_1,10,2160,14,3,9,0.9722222222222222,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_019_neutral_reciprocity_oath.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_2,10,2186,10,3,9,0.8234217749313815,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_016_neutral_reciprocity_oath.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_1,10,1879,14,3,7,1.4369345396487492,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_016_neutral_reciprocity_oath.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_2,10,2156,9,1,7,0.5565862708719851,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_022_neutral_trickster_exploitation.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_1,10,2133,10,1,6,0.8438818565400843,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_022_neutral_trickster_exploitation.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_2,10,2174,16,3,10,1.2419503219871204,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_021_neutral_trickster_exploitation.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_1,10,2134,11,2,9,0.6560449859418931,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_021_neutral_trickster_exploitation.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_2,10,2198,9,1,6,0.4549590536851683,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_015_neutral_reciprocity_oath.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_1,10,2180,5,1,4,0.22935779816513763,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_015_neutral_reciprocity_oath.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_2,10,2207,5,1,4,0.22655188038060714,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_024_neutral_trickster_exploitation.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_1,10,2160,17,1,9,0.9722222222222222,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_024_neutral_trickster_exploitation.json,gpt-5-nano,myth_game,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_2,10,2229,10,1,9,0.8524001794526694,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_009_neutral_reciprocity_oath.json,gpt-5-nano,game_myth,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_1,10,2228,9,2,8,0.4488330341113106,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_009_neutral_reciprocity_oath.json,gpt-5-nano,game_myth,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_2,10,2193,7,1,5,0.45599635202918376,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_014_neutral_trickster_exploitation.json,gpt-5-nano,game_myth,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_1,10,2175,7,2,6,0.367816091954023,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_014_neutral_trickster_exploitation.json,gpt-5-nano,game_myth,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_2,10,2218,6,3,5,0.36068530207394045,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_006_neutral_reciprocity_oath.json,gpt-5-nano,game_myth,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_1,10,2340,4,2,4,0.2136752136752137,0,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_006_neutral_reciprocity_oath.json,gpt-5-nano,game_myth,targeted_myth_neutral_gpt5nano,False,targeted_myth_neutral_gpt5nano,Agent_2,10,2249,5,3,5,0.31124944419742107,0,False
