path,model,task_order,noise_label,informed,experiment,round,cos_between,drift_a,drift_b
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_083_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,1,0.4863291382789612,1.0000001192092896,0.9999998807907104
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_083_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,2,0.5296450853347778,0.35862699151039124,0.5420652627944946
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_083_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,3,0.8227488994598389,0.3271787166595459,0.5085803270339966
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_083_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,4,0.6409593820571899,0.4949360489845276,0.5554804801940918
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_083_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,5,0.9192994832992554,0.2920045852661133,0.5235214233398438
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_083_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,6,0.6465003490447998,0.2578633427619934,0.37214067578315735
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_083_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,7,0.6015621423721313,0.3358992636203766,0.43647366762161255
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_083_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,8,0.8697861433029175,0.2957240641117096,0.5628005266189575
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_083_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,9,0.8067149519920349,0.32310330867767334,0.38790303468704224
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_083_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,10,0.9168009757995605,0.21530774235725403,0.3890533745288849
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_077_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,1,0.42414939403533936,1.0000001192092896,1.0
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_077_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,2,0.3668743669986725,0.5941898822784424,0.4079720079898834
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_077_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,3,0.7083642482757568,0.6165035963058472,0.5425002574920654
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_077_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,4,0.6284248232841492,0.4205304682254791,0.6509368419647217
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_077_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,5,0.5943799018859863,0.4460669755935669,0.44983044266700745
noise_experiments/v4_direct_provider/noise_positive_mem3_claude_sonnet_45/claude-sonnet-4.5/myth_game/noisy_positive_5_informed/noise_positive_mem3_claude_sonnet_45_077_neutral_anything.json,claude-sonnet-4.5,myth_game,positive,True,noise_positive_mem3_claude_sonnet_45,6,0.5683279633522034,0.4831286072731018,0.3712688088417053
