model,noise_label,informed,task_order,n_chains,n_runs,coinages_mean,coinages_median,max_persistence_mean,max_persistence_median,rare_share_pct_mean,rare_share_pct_median,share_runs_coinage_in_reasons
claude-sonnet-4.5,baseline_v4_mem3_direct,False,game_myth,30,15,3.8333333333333335,3.0,2.3666666666666667,1.5,0.6731808261400264,0.2851727131459335,0.0
claude-sonnet-4.5,baseline_v4_mem3_direct,False,myth_game,30,15,4.366666666666666,4.0,1.9,2.0,0.6172929704846021,0.43283125801571487,0.0
claude-sonnet-4.5,negative_5,False,game_myth,30,15,2.1333333333333333,2.0,2.466666666666667,1.0,0.5909820128651136,0.2151543776339025,0.0
claude-sonnet-4.5,negative_5,False,myth_game,30,15,3.8,3.0,1.4666666666666666,1.0,0.49694109216501425,0.24187193316917627,0.0
claude-sonnet-4.5,negative_5,True,game_myth,30,15,3.3,3.0,2.2666666666666666,1.0,0.5170993831738804,0.24061686846988053,0.0
claude-sonnet-4.5,negative_5,True,myth_game,30,15,5.233333333333333,4.0,2.6333333333333333,2.0,0.9823224929937125,0.3427417229838173,0.0
claude-sonnet-4.5,positive,False,game_myth,30,15,2.2333333333333334,2.0,1.1333333333333333,1.0,0.1843180641835295,0.10106207095537872,0.0
claude-sonnet-4.5,positive,False,myth_game,30,15,2.6,3.0,1.2,1.0,0.26312099291643243,0.1690206825474902,0.0
claude-sonnet-4.5,positive,True,game_myth,30,15,3.0,3.0,1.9666666666666666,2.0,0.2875192952817453,0.23783040131136024,0.0
claude-sonnet-4.5,positive,True,myth_game,30,15,3.1333333333333333,3.0,1.9666666666666666,1.0,0.5411408010537456,0.2374942261612633,0.0
gpt-5-nano,baseline_v4_mem3_direct,False,game_myth,30,15,5.4,5.0,1.6333333333333333,1.0,0.3029561787784676,0.2743520935498405,0.0
gpt-5-nano,baseline_v4_mem3_direct,False,myth_game,30,15,6.433333333333334,7.0,1.4666666666666666,1.0,0.3654663539753798,0.36141835714179094,0.0
gpt-5-nano,bootstrap,False,game_myth,36,18,5.5,6.0,1.6111111111111112,1.0,0.3252119958141348,0.2801122890221788,0.0
gpt-5-nano,bootstrap,False,myth_game,36,18,5.694444444444445,5.0,1.5277777777777777,1.0,0.3410545319256018,0.3232514121257718,0.0
gpt-5-nano,bootstrap,True,game_myth,36,18,5.916666666666667,6.0,1.6388888888888888,2.0,0.34232414488708596,0.317454443786593,0.0
gpt-5-nano,bootstrap,True,myth_game,36,18,5.972222222222222,6.0,2.111111111111111,2.0,0.36390079988973467,0.3673101551012664,0.0
gpt-5-nano,deterministic_max,False,game_myth,14,7,5.857142857142857,5.0,1.6428571428571428,1.0,0.3343620563267459,0.30077790230074497,0.0
gpt-5-nano,gpt5nano_forced_reasoning,False,game_myth,54,27,5.7407407407407405,6.0,1.8518518518518519,2.0,0.3213236606618428,0.2911821705426357,0.0
gpt-5-nano,gpt5nano_forced_reasoning,False,myth_game,56,28,5.464285714285714,5.0,2.0,2.0,0.3212870877737354,0.2842876933733549,0.0
gpt-5-nano,gpt5nano_forced_reasoning,True,game_myth,18,9,4.777777777777778,4.5,1.8333333333333333,1.0,0.2516928832162095,0.22462316371709062,0.0
gpt-5-nano,gpt5nano_forced_reasoning,True,myth_game,20,10,6.6,6.5,2.05,2.0,0.3803931983986773,0.37961638933047875,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_bootstrap,False,game_myth,30,15,6.833333333333333,6.5,2.1,2.0,0.43115775803641593,0.38052684998898334,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_bootstrap,False,myth_game,30,15,7.966666666666667,7.5,1.7,1.0,0.6110918772822629,0.49926753085392384,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_bootstrap,True,game_myth,30,15,9.8,10.0,2.033333333333333,2.0,0.801754246378532,0.8861159237218896,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_bootstrap,True,myth_game,30,15,10.066666666666666,11.5,1.8333333333333333,2.0,0.7925673529643442,0.8824333279085649,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_negative_5,False,game_myth,30,15,9.633333333333333,8.5,2.2666666666666666,2.0,0.7476290243993184,0.5414359962316477,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_negative_5,False,myth_game,28,14,7.75,7.0,2.357142857142857,2.0,0.6789946379160597,0.3434020074355999,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_negative_5,True,game_myth,30,15,7.333333333333333,5.5,1.6666666666666667,1.0,0.5345060610225735,0.31114729327988366,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_negative_5,True,myth_game,30,15,9.066666666666666,9.5,2.2666666666666666,2.0,0.8066439852645106,0.777792712480184,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_no_noise,False,game_myth,30,15,8.533333333333333,8.0,2.3,2.0,0.6804400535540772,0.6431466622549425,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_no_noise,False,myth_game,30,15,9.433333333333334,8.0,1.6666666666666667,1.0,0.7399280014858289,0.5016461509426049,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_positive_5,False,game_myth,30,15,8.866666666666667,8.0,1.8666666666666667,2.0,0.6526179148117762,0.4580005042515284,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_positive_5,False,myth_game,30,15,9.566666666666666,10.0,1.8333333333333333,1.5,0.8191031895979156,0.8238816215610995,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_positive_5,True,game_myth,30,15,9.433333333333334,9.5,2.6,2.0,0.7471985320627484,0.5824055330634278,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_positive_5,True,myth_game,30,15,7.7,6.5,2.8,2.0,0.6452319562329645,0.5538129987624291,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_bootstrap,False,game_myth,30,15,6.166666666666667,7.0,2.066666666666667,2.0,0.379341082559013,0.3772372617394755,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_bootstrap,False,myth_game,30,15,7.066666666666666,7.0,2.533333333333333,2.0,0.4721762715265804,0.45444501122430647,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_bootstrap,True,game_myth,30,15,7.033333333333333,6.0,2.2666666666666666,2.0,0.44656064703117193,0.40900152370079623,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_bootstrap,True,myth_game,30,15,6.9,7.0,1.8333333333333333,2.0,0.41871250399217186,0.3707232560771321,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_negative_5,False,game_myth,30,15,6.133333333333334,6.5,2.2,2.0,0.4152348097660844,0.3929262160953048,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_negative_5,False,myth_game,30,15,6.7,6.0,2.3333333333333335,2.0,0.44443817007629366,0.45231777191716704,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_negative_5,True,game_myth,30,15,6.7,6.5,2.433333333333333,2.0,0.4444298544215994,0.43359592015791104,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_negative_5,True,myth_game,30,15,6.3,6.0,2.2666666666666666,2.0,0.411152961952746,0.37149278081796555,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_no_noise,False,game_myth,30,15,7.2,7.0,2.4,2.0,0.45970620808501833,0.45603461662174605,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_no_noise,False,myth_game,30,15,6.266666666666667,6.0,2.3,2.0,0.4302324839613499,0.4156133898758332,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_positive_5,False,game_myth,30,15,5.866666666666666,5.5,2.2333333333333334,2.0,0.3729674922674312,0.4188147678491617,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_positive_5,False,myth_game,30,15,7.466666666666667,8.0,2.6666666666666665,2.5,0.5042826230452901,0.4801292365205706,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_positive_5,True,game_myth,30,15,5.766666666666667,6.0,1.9333333333333333,2.0,0.3623970789752468,0.346534018520577,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_positive_5,True,myth_game,30,15,6.166666666666667,6.0,2.2666666666666666,2.0,0.39191070105606085,0.32200244982544624,0.0
