history,history_label,task,task_label,replicate_id,path,num_agents,final_balance,joint_balance,mean_trust_ratio,mean_return_ratio,mean_sent,mean_returned,mean_later_communicated_sent,num_interactions,return_over_sent
dossier,Current-partner dossier,game,Game only,5,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_history_confirm_gpt_n10_dossier_game_000_neutral_rep05.json,8,63.625,509.0,0.7725000000000001,0.45378769841269834,3.8625,5.26425,4.016388888888889,40,1.3629126213592233
dossier,Current-partner dossier,game,Game only,6,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_history_confirm_gpt_n10_dossier_game_001_neutral_rep06.json,8,64.9375,519.5,0.7987500000000001,0.3307222744360902,3.99375,4.054250000000001,3.751944444444445,40,1.0151486697965573
dossier,Current-partner dossier,game,Game only,7,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_history_confirm_gpt_n10_dossier_game_002_neutral_rep07.json,8,65.75,526.0,0.8150000000000001,0.34233472222222217,4.075,4.35475,4.014166666666666,40,1.0686503067484663
dossier,Current-partner dossier,game,Game only,8,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_history_confirm_gpt_n10_dossier_game_003_neutral_rep08.json,8,65.875,527.0,0.8175000000000001,0.40044695767195765,4.0875,4.90525,4.0263888888888895,40,1.2000611620795105
dossier,Current-partner dossier,game,Game only,9,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_history_confirm_gpt_n10_dossier_game_004_neutral_rep09.json,8,61.125,489.0,0.7224999999999999,0.41995806878306874,3.6125,4.581,3.6472222222222226,40,1.268096885813149
dossier,Current-partner dossier,game,Game only,10,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_history_confirm_gpt_n10_dossier_game_005_neutral_rep10.json,8,65.625,525.0,0.8125,0.4126821428571429,4.0625,5.05775,3.980555555555556,40,1.2449846153846156
dossier,Current-partner dossier,game,Game only,11,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_history_confirm_gpt_n10_dossier_game_006_neutral_rep11.json,8,63.125,505.0,0.7625000000000001,0.3766523809523809,3.8125,4.3415,3.927777777777777,40,1.1387540983606557
dossier,Current-partner dossier,game,Game only,12,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_history_confirm_gpt_n10_dossier_game_007_neutral_rep12.json,8,65.375,523.0,0.8074999999999999,0.3663743386243386,4.0375,4.5089999999999995,4.005277777777778,40,1.1167801857585138
dossier,Current-partner dossier,game,Game only,13,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_history_confirm_gpt_n10_dossier_game_008_neutral_rep13.json,8,63.625,509.0,0.7725,0.4120375,3.8625,4.86975,3.821666666666667,40,1.2607766990291263
dossier,Current-partner dossier,game,Game only,14,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_history_confirm_gpt_n10_dossier_game_009_neutral_rep14.json,8,63.12499999999999,504.99999999999994,0.7625,0.3941724867724868,3.8125,4.6175,3.8486111111111114,40,1.2111475409836066
dossier,Current-partner dossier,myth_game,Myth → Game,5,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_history_confirm_gpt_n10_dossier_myth_game_000_neutral_rep05_memtest_memory_primary_anything.json,8,66.0625,528.5,0.82125,0.35843122409782624,4.10625,4.3477500000000004,4.193611111111111,40,1.058812785388128
dossier,Current-partner dossier,myth_game,Myth → Game,6,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_history_confirm_gpt_n10_dossier_myth_game_001_neutral_rep06_memtest_memory_primary_anything.json,8,66.0,528.0,0.82,0.36475066137566137,4.1,4.443,3.809444444444445,40,1.083658536585366
dossier,Current-partner dossier,myth_game,Myth → Game,7,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_history_confirm_gpt_n10_dossier_myth_game_002_neutral_rep07_memtest_memory_primary_anything.json,8,65.16,521.2800000000001,0.8032,0.3349103856199037,4.016,4.009,3.924722222222222,40,0.9982569721115538
dossier,Current-partner dossier,myth_game,Myth → Game,8,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_history_confirm_gpt_n10_dossier_myth_game_003_neutral_rep08_memtest_memory_primary_anything.json,8,65.2125,521.7,0.80425,0.4547400413063777,4.02125,5.444750000000001,4.045555555555556,40,1.353994404724899
dossier,Current-partner dossier,myth_game,Myth → Game,9,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_history_confirm_gpt_n10_dossier_myth_game_004_neutral_rep09_memtest_memory_primary_anything.json,8,64.875,519.0,0.7975,0.3450148809523809,3.9875,4.066249999999999,3.9911111111111115,40,1.0197492163009403
dossier,Current-partner dossier,myth_game,Myth → Game,10,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_history_confirm_gpt_n10_dossier_myth_game_005_neutral_rep10_memtest_memory_primary_anything.json,8,65.25,522.0,0.805,0.4210275991244451,4.025,5.107125,3.870833333333333,40,1.2688509316770185
dossier,Current-partner dossier,myth_game,Myth → Game,11,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_history_confirm_gpt_n10_dossier_myth_game_006_neutral_rep11_memtest_memory_primary_anything.json,8,66.275,530.2,0.8254999999999999,0.36499435045948203,4.1274999999999995,4.49425,4.1963888888888885,40,1.0888552392489401
dossier,Current-partner dossier,myth_game,Myth → Game,12,data/json/noise_experiments/history_visibility_confirm_gpt_n10_20260821/noise8_history_confirm_gpt_n10_dossier_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_history_confirm_gpt_n10_dossier_myth_game_007_neutral_rep12_memtest_memory_primary_anything.json,8,69.375,555.0000000000001,0.8875,0.4022990079365079,4.4375,5.419,4.324999999999999,40,1.2211830985915493
