condition,arm,run,n_myths,role_frame_per_1000,action_per_1000,exchange_per_1000,pct_myths_with_role_frame,pct_myths_with_action,pct_myths_with_exchange
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_010_neutral_rep00_myth_control_anything.json,18,0.0,5.1672559151482185,15.501767745444656,0.0,38.88888888888889,83.33333333333334
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_011_neutral_rep01_myth_control_anything.json,18,0.0,5.3233963268565345,16.768698429598082,0.0,44.44444444444444,94.44444444444444
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_012_neutral_rep02_myth_control_anything.json,18,0.2656042496679947,6.374501992031872,35.85657370517928,5.555555555555555,55.55555555555556,100.0
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_013_neutral_rep03_myth_control_anything.json,18,0.0,3.500269251480883,5.385029617662897,0.0,33.33333333333333,44.44444444444444
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_014_neutral_rep04_myth_control_anything.json,18,0.0,7.282184655396619,16.644993498049416,0.0,61.111111111111114,66.66666666666666
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_015_neutral_rep05_myth_control_anything.json,18,0.2661698163428267,2.3955283470854405,10.380622837370241,5.555555555555555,33.33333333333333,83.33333333333334
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_016_neutral_rep06_myth_control_anything.json,18,0.0,1.3266118333775536,10.347572300344918,0.0,27.77777777777778,100.0
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_017_neutral_rep07_myth_control_anything.json,18,2.6343519494204424,17.123287671232877,33.983140147523706,11.11111111111111,94.44444444444444,100.0
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_018_neutral_rep08_myth_control_anything.json,18,0.0,5.918682449819866,12.094698919197118,0.0,55.55555555555556,88.88888888888889
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_019_neutral_rep09_myth_control_anything.json,18,0.5379236148466918,15.061861215707369,29.585798816568047,11.11111111111111,88.88888888888889,100.0
