run_idx,condition,condition_label,replicate,round,sent,returned,received,return_ratio,mean_balance,path
0,game_only,Game Only,0,1,3.0,4.375,9.0,0.4861111111111111,5.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_000_neutral_rep00.json
0,game_only,Game Only,0,2,3.0,4.375,9.0,0.4861111111111111,11.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_000_neutral_rep00.json
0,game_only,Game Only,0,3,3.0,4.375,9.0,0.4861111111111111,16.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_000_neutral_rep00.json
0,game_only,Game Only,0,4,3.0,4.5,9.0,0.5,22.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_000_neutral_rep00.json
0,game_only,Game Only,0,5,3.0,4.5,9.0,0.5,27.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_000_neutral_rep00.json
0,game_only,Game Only,0,6,3.0,4.5,9.0,0.5,33.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_000_neutral_rep00.json
0,game_only,Game Only,0,7,3.0,4.5,9.0,0.5,38.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_000_neutral_rep00.json
0,game_only,Game Only,0,8,3.0,4.5,9.0,0.5,44.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_000_neutral_rep00.json
0,game_only,Game Only,0,9,3.0,4.5,9.0,0.5,49.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_000_neutral_rep00.json
0,game_only,Game Only,0,10,3.0,4.5,9.0,0.5,55.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_000_neutral_rep00.json
1,game_only,Game Only,1,1,3.0,4.5,9.0,0.5,5.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_001_neutral_rep01.json
1,game_only,Game Only,1,2,3.0,4.5,9.0,0.5,11.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_001_neutral_rep01.json
1,game_only,Game Only,1,3,3.0,4.625,9.0,0.5138888888888888,16.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_001_neutral_rep01.json
1,game_only,Game Only,1,4,3.0,4.5,9.0,0.5,22.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_001_neutral_rep01.json
1,game_only,Game Only,1,5,3.0,4.625,9.0,0.5138888888888888,27.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_001_neutral_rep01.json
1,game_only,Game Only,1,6,3.0,4.5,9.0,0.5,33.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_001_neutral_rep01.json
1,game_only,Game Only,1,7,3.0,4.625,9.0,0.5138888888888888,38.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_001_neutral_rep01.json
1,game_only,Game Only,1,8,3.0,4.625,9.0,0.5138888888888888,44.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_001_neutral_rep01.json
1,game_only,Game Only,1,9,3.0,4.5,9.0,0.5,49.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_001_neutral_rep01.json
1,game_only,Game Only,1,10,3.0,4.625,9.0,0.5138888888888888,55.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_001_neutral_rep01.json
2,game_only,Game Only,2,1,3.25,4.875,9.75,0.5,5.75,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_002_neutral_rep02.json
2,game_only,Game Only,2,2,3.25,4.875,9.75,0.5,11.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_002_neutral_rep02.json
2,game_only,Game Only,2,3,3.5,5.25,10.5,0.5,17.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_002_neutral_rep02.json
2,game_only,Game Only,2,4,3.5,5.25,10.5,0.5,23.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_002_neutral_rep02.json
2,game_only,Game Only,2,5,3.5,5.25,10.5,0.5,29.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_002_neutral_rep02.json
2,game_only,Game Only,2,6,3.5,5.25,10.5,0.5,35.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_002_neutral_rep02.json
2,game_only,Game Only,2,7,3.5,5.25,10.5,0.5,41.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_002_neutral_rep02.json
2,game_only,Game Only,2,8,3.5,5.25,10.5,0.5,47.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_002_neutral_rep02.json
2,game_only,Game Only,2,9,3.0,4.5,9.0,0.5,53.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_002_neutral_rep02.json
2,game_only,Game Only,2,10,3.75,5.625,11.25,0.5,59.25,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_002_neutral_rep02.json
3,game_only,Game Only,3,1,3.0,4.625,9.0,0.5138888888888888,5.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_003_neutral_rep03.json
3,game_only,Game Only,3,2,3.0,4.625,9.0,0.5138888888888888,11.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_003_neutral_rep03.json
3,game_only,Game Only,3,3,3.0,4.625,9.0,0.5138888888888888,16.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_003_neutral_rep03.json
3,game_only,Game Only,3,4,3.0,4.625,9.0,0.5138888888888888,22.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_003_neutral_rep03.json
3,game_only,Game Only,3,5,3.0,4.75,9.0,0.5277777777777778,27.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_003_neutral_rep03.json
3,game_only,Game Only,3,6,3.0,4.5,9.0,0.5,33.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_003_neutral_rep03.json
3,game_only,Game Only,3,7,3.0,4.625,9.0,0.5138888888888888,38.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_003_neutral_rep03.json
3,game_only,Game Only,3,8,3.0,4.75,9.0,0.5277777777777778,44.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_003_neutral_rep03.json
3,game_only,Game Only,3,9,3.0,4.5,9.0,0.5,49.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_003_neutral_rep03.json
3,game_only,Game Only,3,10,3.0,4.75,9.0,0.5277777777777778,55.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_003_neutral_rep03.json
4,game_only,Game Only,4,1,3.0,4.375,9.0,0.4861111111111111,5.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_004_neutral_rep04.json
4,game_only,Game Only,4,2,3.125,4.8125,9.375,0.5138888888888888,11.125,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_004_neutral_rep04.json
4,game_only,Game Only,4,3,2.875,4.375,8.625,0.5055555555555555,16.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_004_neutral_rep04.json
4,game_only,Game Only,4,4,3.5,5.375,10.5,0.5138888888888888,22.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_004_neutral_rep04.json
4,game_only,Game Only,4,5,3.25,5.125,9.75,0.5277777777777778,28.25,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_004_neutral_rep04.json
4,game_only,Game Only,4,6,3.125,4.8125,9.375,0.5138888888888888,33.875,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_004_neutral_rep04.json
4,game_only,Game Only,4,7,3.375,5.3125,10.125,0.5208333333333334,39.75,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_004_neutral_rep04.json
4,game_only,Game Only,4,8,3.25,5.0,9.75,0.5138888888888888,45.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_004_neutral_rep04.json
4,game_only,Game Only,4,9,3.25,5.125,9.75,0.5208333333333334,51.25,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_004_neutral_rep04.json
4,game_only,Game Only,4,10,3.375,5.5,10.125,0.5430555555555555,57.125,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_004_neutral_rep04.json
5,myth_game_directive,Myth-Game Directive,0,1,4.0,6.875,12.0,0.5625,6.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
5,myth_game_directive,Myth-Game Directive,0,2,4.0,7.0,12.0,0.576388888888889,13.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
5,myth_game_directive,Myth-Game Directive,0,3,4.5,7.375,13.5,0.5458333333333334,20.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
5,myth_game_directive,Myth-Game Directive,0,4,4.25,7.5,12.75,0.6,26.75,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
5,myth_game_directive,Myth-Game Directive,0,5,4.5,7.75,13.5,0.575,33.75,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
5,myth_game_directive,Myth-Game Directive,0,6,4.25,8.0,12.75,0.6180555555555556,40.5,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
5,myth_game_directive,Myth-Game Directive,0,7,4.0,7.5,12.0,0.6291666666666667,47.0,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
5,myth_game_directive,Myth-Game Directive,0,8,4.75,8.125,14.25,0.5708333333333333,54.25,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json
