run_id,condition_group,condition,model,replicate_id,num_agents,round,dyad_index,sender,receiver,sent,received,returned,return_ratio,sender_payoff,receiver_payoff,balances_json,pairings_json,roles_json,source_json
sonnet45_directive_normative_r10_n5_000_neutral_rep00,2agent_clean_sonnet45,game_only,anthropic/claude-sonnet-4.5,0,2,1,1,Agent_1,Agent_2,3.0,9.0,4.5,0.5,6.5,4.5,"{""Agent_1"": 6.5, ""Agent_2"": 4.5}","[{""agent_names"": {""Agent_1"": ""Aster"", ""Agent_2"": ""Briar""}, ""agents"": [""Agent_1"", ""Agent_2""], ""dyad_id"": ""dyad_1"", ""investor"": ""Agent_1"", ""roles"": {""Agent_1"": ""investor"", ""Agent_2"": ""trustee""}, ""round"": 1, ""trustee"": ""Agent_2""}]","{""Agent_1"": ""investor"", ""Agent_2"": ""trustee""}",data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_000_neutral_rep00.json
sonnet45_directive_normative_r10_n5_000_neutral_rep00,2agent_clean_sonnet45,game_only,anthropic/claude-sonnet-4.5,0,2,2,1,Agent_2,Agent_1,3.0,9.0,4.5,0.5,6.5,4.5,"{""Agent_1"": 11.0, ""Agent_2"": 11.0}","[{""agent_names"": {""Agent_1"": ""Aster"", ""Agent_2"": ""Briar""}, ""agents"": [""Agent_2"", ""Agent_1""], ""dyad_id"": ""dyad_1"", ""investor"": ""Agent_2"", ""roles"": {""Agent_1"": ""trustee"", ""Agent_2"": ""investor""}, ""round"": 2, ""trustee"": ""Agent_1""}]","{""Agent_1"": ""trustee"", ""Agent_2"": ""investor""}",data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_000_neutral_rep00.json
sonnet45_directive_normative_r10_n5_000_neutral_rep00,2agent_clean_sonnet45,game_only,anthropic/claude-sonnet-4.5,0,2,3,1,Agent_1,Agent_2,3.0,9.0,4.5,0.5,6.5,4.5,"{""Agent_1"": 17.5, ""Agent_2"": 15.5}","[{""agent_names"": {""Agent_1"": ""Aster"", ""Agent_2"": ""Briar""}, ""agents"": [""Agent_1"", ""Agent_2""], ""dyad_id"": ""dyad_1"", ""investor"": ""Agent_1"", ""roles"": {""Agent_1"": ""investor"", ""Agent_2"": ""trustee""}, ""round"": 3, ""trustee"": ""Agent_2""}]","{""Agent_1"": ""investor"", ""Agent_2"": ""trustee""}",data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_000_neutral_rep00.json
sonnet45_directive_normative_r10_n5_000_neutral_rep00,2agent_clean_sonnet45,game_only,anthropic/claude-sonnet-4.5,0,2,4,1,Agent_2,Agent_1,3.0,9.0,4.5,0.5,6.5,4.5,"{""Agent_1"": 22.0, ""Agent_2"": 22.0}","[{""agent_names"": {""Agent_1"": ""Aster"", ""Agent_2"": ""Briar""}, ""agents"": [""Agent_2"", ""Agent_1""], ""dyad_id"": ""dyad_1"", ""investor"": ""Agent_2"", ""roles"": {""Agent_1"": ""trustee"", ""Agent_2"": ""investor""}, ""round"": 4, ""trustee"": ""Agent_1""}]","{""Agent_1"": ""trustee"", ""Agent_2"": ""investor""}",data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_000_neutral_rep00.json
sonnet45_directive_normative_r10_n5_000_neutral_rep00,2agent_clean_sonnet45,game_only,anthropic/claude-sonnet-4.5,0,2,5,1,Agent_1,Agent_2,3.0,9.0,4.5,0.5,6.5,4.5,"{""Agent_1"": 28.5, ""Agent_2"": 26.5}","[{""agent_names"": {""Agent_1"": ""Aster"", ""Agent_2"": ""Briar""}, ""agents"": [""Agent_1"", ""Agent_2""], ""dyad_id"": ""dyad_1"", ""investor"": ""Agent_1"", ""roles"": {""Agent_1"": ""investor"", ""Agent_2"": ""trustee""}, ""round"": 5, ""trustee"": ""Agent_2""}]","{""Agent_1"": ""investor"", ""Agent_2"": ""trustee""}",data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_000_neutral_rep00.json
sonnet45_directive_normative_r10_n5_000_neutral_rep00,2agent_clean_sonnet45,game_only,anthropic/claude-sonnet-4.5,0,2,6,1,Agent_2,Agent_1,3.0,9.0,4.5,0.5,6.5,4.5,"{""Agent_1"": 33.0, ""Agent_2"": 33.0}","[{""agent_names"": {""Agent_1"": ""Aster"", ""Agent_2"": ""Briar""}, ""agents"": [""Agent_2"", ""Agent_1""], ""dyad_id"": ""dyad_1"", ""investor"": ""Agent_2"", ""roles"": {""Agent_1"": ""trustee"", ""Agent_2"": ""investor""}, ""round"": 6, ""trustee"": ""Agent_1""}]","{""Agent_1"": ""trustee"", ""Agent_2"": ""investor""}",data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_000_neutral_rep00.json
sonnet45_directive_normative_r10_n5_000_neutral_rep00,2agent_clean_sonnet45,game_only,anthropic/claude-sonnet-4.5,0,2,7,1,Agent_1,Agent_2,3.0,9.0,4.5,0.5,6.5,4.5,"{""Agent_1"": 39.5, ""Agent_2"": 37.5}","[{""agent_names"": {""Agent_1"": ""Aster"", ""Agent_2"": ""Briar""}, ""agents"": [""Agent_1"", ""Agent_2""], ""dyad_id"": ""dyad_1"", ""investor"": ""Agent_1"", ""roles"": {""Agent_1"": ""investor"", ""Agent_2"": ""trustee""}, ""round"": 7, ""trustee"": ""Agent_2""}]","{""Agent_1"": ""investor"", ""Agent_2"": ""trustee""}",data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_000_neutral_rep00.json
sonnet45_directive_normative_r10_n5_000_neutral_rep00,2agent_clean_sonnet45,game_only,anthropic/claude-sonnet-4.5,0,2,8,1,Agent_2,Agent_1,3.0,9.0,4.5,0.5,6.5,4.5,"{""Agent_1"": 44.0, ""Agent_2"": 44.0}","[{""agent_names"": {""Agent_1"": ""Aster"", ""Agent_2"": ""Briar""}, ""agents"": [""Agent_2"", ""Agent_1""], ""dyad_id"": ""dyad_1"", ""investor"": ""Agent_2"", ""roles"": {""Agent_1"": ""trustee"", ""Agent_2"": ""investor""}, ""round"": 8, ""trustee"": ""Agent_1""}]","{""Agent_1"": ""trustee"", ""Agent_2"": ""investor""}",data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_000_neutral_rep00.json
sonnet45_directive_normative_r10_n5_000_neutral_rep00,2agent_clean_sonnet45,game_only,anthropic/claude-sonnet-4.5,0,2,9,1,Agent_1,Agent_2,3.0,9.0,4.5,0.5,6.5,4.5,"{""Agent_1"": 50.5, ""Agent_2"": 48.5}","[{""agent_names"": {""Agent_1"": ""Aster"", ""Agent_2"": ""Briar""}, ""agents"": [""Agent_1"", ""Agent_2""], ""dyad_id"": ""dyad_1"", ""investor"": ""Agent_1"", ""roles"": {""Agent_1"": ""investor"", ""Agent_2"": ""trustee""}, ""round"": 9, ""trustee"": ""Agent_2""}]","{""Agent_1"": ""investor"", ""Agent_2"": ""trustee""}",data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_000_neutral_rep00.json
sonnet45_directive_normative_r10_n5_000_neutral_rep00,2agent_clean_sonnet45,game_only,anthropic/claude-sonnet-4.5,0,2,10,1,Agent_2,Agent_1,3.0,9.0,4.5,0.5,6.5,4.5,"{""Agent_1"": 55.0, ""Agent_2"": 55.0}","[{""agent_names"": {""Agent_1"": ""Aster"", ""Agent_2"": ""Briar""}, ""agents"": [""Agent_2"", ""Agent_1""], ""dyad_id"": ""dyad_1"", ""investor"": ""Agent_2"", ""roles"": {""Agent_1"": ""trustee"", ""Agent_2"": ""investor""}, ""round"": 10, ""trustee"": ""Agent_1""}]","{""Agent_1"": ""trustee"", ""Agent_2"": ""investor""}",data/json/sonnet45_directive_normative_r10_n5/claude-sonnet-4.5/game/sonnet45_directive_normative_r10_n5_000_neutral_rep00.json
