model_id,model_label,metric,contrast,primary,n_pairs,estimate,ci_low,ci_high,p_value,cohens_dz
gpt,GPT-5 Nano,standard_send_ratio,2 of 8 defectors − no defectors,True,5,-0.03263333333333327,-0.09600964183004213,0.03074297516337559,0.22604180549551392,-0.6393498785667995
gpt,GPT-5 Nano,round1_standard_send,2 of 8 defectors − no defectors,False,5,0.01333333333333342,-0.047706377134952176,0.07437304380161902,0.5769327973042648,0.2712254014483257
gpt,GPT-5 Nano,standard_return_ratio,2 of 8 defectors − no defectors,False,5,-0.017271723682284367,-0.06052264716789679,0.025979199803328055,0.32971402012166456,-0.49584322726310964
gpt,GPT-5 Nano,standard_final_balance,2 of 8 defectors − no defectors,False,5,-18.031666666666666,-22.54377200426863,-13.519561329064704,0.00037532613608520516,-4.962045354089647
gpt,GPT-5 Nano,population_final_balance,2 of 8 defectors − no defectors,False,5,-11.680000000000001,-14.347898656091381,-9.012101343908622,0.00026287821912217415,-5.4359769123566215
gpt,GPT-5 Nano,standard_send_partner_contrast,Send to defector − send to standard (treatment),False,5,0.02241740385218638,-0.028170216495879058,0.07300502420025182,0.2859724052201633,0.5502311258157198
gpt,GPT-5 Nano,standard_myth_coop_density,Treatment-standard − control-standard,True,5,-0.11638219115053498,-0.44609312808659396,0.21332874578552397,0.3825575554012715,-0.4382856635772222
gpt,GPT-5 Nano,standard_myth_coop_present,Treatment-standard − control-standard,False,5,0.0,0.0,0.0,1.0,0.0
gpt,GPT-5 Nano,standard_myth_threat_density,Treatment-standard − control-standard,False,5,0.009446144831668238,-0.028971218109117527,0.047863507772454,0.5322973319918417,0.3053030468900042
gpt,GPT-5 Nano,standard_myth_threat_present,Treatment-standard − control-standard,False,5,0.019999999999999997,-0.055186488876634805,0.0951864888766348,0.5011693674201637,0.3302891295379082
gpt,GPT-5 Nano,standard_myth_half_rule,Treatment-standard − control-standard,False,5,-0.0016666666666666663,-0.03283733828017011,0.029504004946836776,0.8891678220895914,-0.06639061303092922
gpt,GPT-5 Nano,standard_myth_word_count,Treatment-standard − control-standard,False,5,0.3416666666666572,-2.7045404858304307,3.3878738191637447,0.7710442163422316,0.13926669400618863
gpt,GPT-5 Nano,defector_myth_coop_density,Defector-authored − standard-authored (treatment),False,5,0.11365176244823694,-0.16985685640299847,0.39716038129947234,0.3280786572271479,0.49775312770449004
gpt,GPT-5 Nano,defector_myth_threat_density,Defector-authored − standard-authored (treatment),False,5,-0.02420983244825815,-0.055937618019471017,0.007517953122954713,0.10150636172894291,-0.9474495875571556
gpt,GPT-5 Nano,defector_myth_half_rule,Defector-authored − standard-authored (treatment),False,5,-0.0033333333333333327,-0.03733770236624619,0.03067103569957952,0.7989658591927787,-0.12171612389003689
gpt,GPT-5 Nano,defector_myth_word_count,Defector-authored − standard-authored (treatment),False,5,0.9833333333333372,-2.424494636298406,4.39116130296508,0.4679338687885062,0.3582838127728757
gpt,GPT-5 Nano,defector_myth_coop_density_round1,Defector-authored − standard-authored (round1),False,5,0.5249345243206547,-0.7351903831051978,1.7850594317465072,0.3118092181727538,0.5172442004932981
gpt,GPT-5 Nano,defector_myth_threat_density_round1,Defector-authored − standard-authored (round1),False,5,-0.05733901124311562,-0.1315803704081538,0.016902347921922564,0.09860617255370692,-0.9589774049651997
gpt,GPT-5 Nano,defector_myth_coop_density_rounds2_10,Defector-authored − standard-authored (rounds2_10),False,5,0.06795367779574617,-0.20744226920619957,0.34334962479769193,0.530928254251505,0.30637936463139215
gpt,GPT-5 Nano,defector_myth_threat_density_rounds2_10,Defector-authored − standard-authored (rounds2_10),False,5,-0.020528812582162874,-0.052441336671480175,0.011383711507154427,0.14863416440428917,-0.7987424447468532
